No.,name,address,score,tags,distance,price:lunch,price:dinner
137,forucafe,東京都新宿区西早稲田2-4-26 1F,3.05,カフェ、パン??サンドイッチ（その他）、コーヒー専門店,早稲田（都電）駅 429m,～￥999,"￥1,000～￥1,999"
138,兼六寿司,東京都新宿区西早稲田2-10-18-104,3.07,寿司,面影橋駅 405m,～￥999,-
139,東京スミス,東京都新宿区西早稲田3-21-2 2F,3.05,バー,面影橋駅 331m,-,"￥2,000～￥2,999"
140,海鮮どんぶり屋梁川,東京都新宿区西早稲田1-22-2,3.21,居酒屋、魚介料理??海鮮料理、海鮮丼,早稲田（都電）駅 76m,-,"￥3,000～￥3,999"
141,焼肉大盛屋,東京都新宿区西早稲田1-15-3,3.03,焼肉,早稲田（都電）駅 79m,-,"￥4,000～￥4,999"
142,油麺にこにこ,東京都新宿区西早稲田1-8-8,3.01,ラーメン,早稲田（都電）駅 189m,～￥999,-
143,丼丸西早稲田店,東京都新宿区西早稲田3-13-3,3.02,海鮮丼,面影橋駅 343m,～￥999,-
144,我羅奢,東京都新宿区西早稲田2-21-6 斎藤ビル　１F,3.52,ラーメン、油そば,西早稲田駅 276m,～￥999,～￥999
145,安兵衛,東京都新宿区西早稲田2-15-10,3.21,寿司,面影橋駅 352m,"￥3,000～￥3,999",-
146,茶々工房,東京都新宿区西早稲田2-21-19,3.51,日本茶専門店、カフェ、甘味処,西早稲田駅 330m,～￥999,～￥999
147,アジアミャンマー料理メルティン,東京都新宿区西早稲田2-18-25 横川ビル 2F,3.02,東南アジア料理（その他）、カレー（その他）、居酒屋,面影橋駅 339m,-,"￥1,000～￥1,999"
148,尾張屋,東京都新宿区西早稲田1-1-3,3.18,そば、かつ丼??かつ重、定食??食堂,早稲田（メトロ）駅 250m,～￥999,-
149,中国飯店佳里福,東京都新宿区西早稲田1-8-14 メゾン早稲田1F,3.21,中華料理,早稲田（都電）駅 157m,"￥1,000～￥1,999",-
